,url,title,location,make,model,trim,engine,price,year,mileage,transmission,options,power options,body_type,inter_color,exter_color,fuel_type,vehicle_title,for_sale_by,city,state,state_name,lat,lng,state_id,extra_info
0,https://www.ebay.com/itm/255263196548?hash=item3b6edf4584%3Ag%3AKkEAAOSwIBlhfs46&LH_BIN=1,2000 BMW Z3 M,"Phoenix, Arizona, United States",bmw,Z3,M,6,35950,2000,30540,manual,--,--,convertible,Black,Red,Gasoline,Clean,Dealer,Phoenix,Arizona,Arizona,33.5722,-112.0891,AZ,"Model: Z3,  Engine: 6, Trim: M, Options: --, Inner Color: Black, Outside color: Red"
1,https://www.ebay.com/itm/125043114272?hash=item1d1d268120%3Ag%3AOUYAAOSwAqphsjKE&LH_BIN=1,1965 Chevrolet Corvette Convertible,"Morgantown, Pennsylvania, United States",chevrolet,Convertible,Convertible,327 V8 L79,62000,1965,77742,manual,,,convertible,Black,Red,,Clean,Dealer,Morgantown,Pennsylvania,Pennsylvania,40.1539,-75.8906,PA,"Model: Convertible,  Engine: 327 V8 L79, Trim: Convertible, Options: , Inner Color: Black, Outside color: Red"
2,https://www.ebay.com/itm/275050233916?hash=item400a45803c%3Ag%3AIw4AAOSwo3NhqWaI&LH_BIN=1,2013 Porsche 911,"Alexandria, Virginia, United States",porsche,911,,,63900,2013,57433,manual,Convertible,,convertible,Black,Silver,,Clean,,Alexandria,Virginia,Virginia,38.8185,-77.0861,VA,"Model: 911,  Engine: , Trim: , Options: Convertible, Inner Color: Black, Outside color: Silver"
3,https://www.ebay.com/itm/324925939658?hash=item4ba7185fca%3Ag%3An1AAAOSwfUVhrqLH&LH_BIN=1,1966 Lincoln Continental leather,"Long Beach, California, United States",other,Continental,leather,462,70000,1966,69000,automatic,,,convertible,,White,Gasoline,Clean,Private Seller,Long Beach,California,California,33.7981,-118.1675,CA,"Model: Continental,  Engine: 462, Trim: leather, Options: , Inner Color: , Outside color: White"
4,https://www.ebay.com/itm/234322774988?hash=item368eb9cbcc%3Ag%3A9dQAAOSwzqBhXIy8&LH_BIN=1,1975 Chevrolet Corvette,"Vineland, New Jersey, United States",chevrolet,Corvette,,Other 1.0L,29900,1975,53000,automatic,--,--,convertible,Red,Red,Gasoline,--,Dealer,Vineland,New Jersey,New Jersey,39.4653,-74.9981,NJ,"Model: Corvette,  Engine: Other 1.0L, Trim: , Options: --, Inner Color: Red, Outside color: Red"
5,https://www.ebay.com/itm/115132700321?hash=item1ace7196a1%3Ag%3AGU8AAOSwjdhhi7Yw&LH_BIN=1,2018 McLaren 570,"Delray Beach, Florida, United States",other,570,,3.8L Twin Turbo V8 562hp 443ft. lbs.,219000,2018,18800,manual,--,--,convertible,Black,Gray,Gasoline,Clean,Dealer,Delray Beach,Florida,Florida,26.455,-80.0905,FL,"Model: 570,  Engine: 3.8L Twin Turbo V8 562hp 443ft. lbs., Trim: , Options: --, Inner Color: Black, Outside color: Gray"
6,https://www.ebay.com/itm/353799412493?hash=item5260169b0d%3Ag%3AUE8AAOSwdithrlM6&LH_BIN=1,1987 Chevrolet Corvette,"Yuma, Arizona, United States",chevrolet,Corvette,,5.7L Gas V8,9000,1987,141400,automatic,,,convertible,,Red,Gasoline,Clean,Private Seller,Yuma,Arizona,Arizona,32.5992,-114.5488,AZ,"Model: Corvette,  Engine: 5.7L Gas V8, Trim: , Options: , Inner Color: , Outside color: Red"
7,https://www.ebay.com/itm/203748172548?hash=item2f70566304%3Ag%3Al8MAAOSwuB9homb4&LH_BIN=1,2016 Ford Mustang GT Premium Convertible 2D,"Heath, Ohio, United States",ford,GT Premium 2dr Convertible,GT Premium Convertible 2D,5.0L V8 435hp 400ft. lbs.,35590,2016,35311,automatic,,,convertible,Black,Oxford White,Gasoline,Clean,Dealer,Heath,Ohio,Ohio,40.0241,-82.4412,OH,"Model: GT Premium 2dr Convertible,  Engine: 5.0L V8 435hp 400ft. lbs., Trim: GT Premium Convertible 2D, Options: , Inner Color: Black, Outside color: Oxford White"
8,https://www.ebay.com/itm/334225527649?hash=item4dd164d361%3Ag%3A05sAAOSw8q5hcIK4&LH_BIN=1,1962 Ford Galaxie 500 XL,"Edinburg, Texas, United States",ford,Galaxie 500 XL,,390,19500,1962,11111,automatic,,,convertible,,White,Gasoline,Clean,Private Seller,Edinburg,Texas,Texas,26.3197,-98.1596,TX,"Model: Galaxie 500 XL,  Engine: 390, Trim: , Options: , Inner Color: , Outside color: White"
9,https://www.ebay.com/itm/203747083224?hash=item2f7045c3d8%3Ag%3AgPYAAOSwXHFg8Chu&LH_BIN=1,2016 BMW 4-Series 428i Convertible 2D,"Tempe, Arizona, United States",bmw,428i 2dr Convertible SULEV,428i Convertible 2D,2.0L Turbo I4 240hp 255ft. lbs.,29990,2016,56833,automatic,,,convertible,BEIGE,Melbourne Red Metallic,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: 428i 2dr Convertible SULEV,  Engine: 2.0L Turbo I4 240hp 255ft. lbs., Trim: 428i Convertible 2D, Options: , Inner Color: BEIGE, Outside color: Melbourne Red Metallic"
